"Account Name","Logo URL","Website","Product Name","Related To","Purchase History Name","Install Date","Status","Usage End Date","Purchase Date","Purchase History Purchase History"
"Redis Labs","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/redis-labs.svg","http://www.redislabs.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Redis Labs - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"FOSSID AB","","http://www.fossid.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","FOSSID AB - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Acme Test","","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Acme Test - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","1/31/2021","1/6/2020",""
"SAIC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/saic.svg","http://www.saic.com/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","SAIC - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Silver Membership Total Employee Size 5000+"
"ENEA Software AB","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/enea-software-ab.svg","http://www.enea.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ENEA Software AB - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Mocana Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/mocana-corporation.svg","http://www.mocana.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Mocana Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"CoSoSys S.R.L.","","http://www.cososys.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","CoSoSys S.R.L. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Bose Corporation","","http://www.bose.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Bose Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Pluribus Networks","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/pluribus-networks.svg","http://www.pluribusnetworks.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Pluribus Networks - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Tidelift","","www.tidelift.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Tidelift - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Airbiquity","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/airbiquity.svg","http://www.airbiquity.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Airbiquity - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"ReGov Technologies Sdn Bhd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/regov-technologies-sdn-bhd.svg","http://www.regovtech.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ReGov Technologies Sdn Bhd - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/27/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"DENX Software Engineering","","http://denx.de","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","DENX Software Engineering - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"nexB Inc.","","http://www.nexb.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","nexB Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"AGSX Pte. Ltd. (Amihan Global Strategies)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/agsx-pte-ltd-amihan-global-strategies.svg","www.amihan.net","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","AGSX Pte. Ltd. (Amihan Global Strategies) - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"China Systems Holdings Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/china-systems-holdings-limited.svg","www.chinasystems.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","China Systems Holdings Limited - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Desay SV Automotive","","http://svautomotive.desay.com/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Desay SV Automotive - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Cybertrust Japan Co., Ltd.","","http://www.miraclelinux.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Cybertrust Japan Co., Ltd. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Shenzhen Forms Syntron Information Co. Ltd","","http://formssi.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Shenzhen Forms Syntron Information Co. Ltd - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"BitDefender","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/bitdefender.svg","http://www.bitdefender.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","BitDefender - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"DaoCloud (Shanghai DaoCloud Network Technology Co, LTD)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/daocloud-shanghai-daocloud-network-technology-co-ltd.svg","http://www.daocloud.io/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","DaoCloud (Shanghai DaoCloud Network Technology Co, LTD) - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Hasura Technologies","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/hasura-technologies.svg","https://hasura.io/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Hasura Technologies - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"FogHorn Systems","","www.foghorn-systems.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","FogHorn Systems - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"KMC Controls, Inc.","","www.kmccontrols.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","KMC Controls, Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"KUKA Deutschland GmbH","","http://http://www.kuka.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","KUKA Deutschland GmbH - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Suzhou Beyondcent & Software Co., Ltd.","","www.beyondcent.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Suzhou Beyondcent & Software Co., Ltd. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Polyverse Corporation","","http://www.polyverse.io","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Polyverse Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Hyperloop One","","https://hyperloop-one.com/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Hyperloop One - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Intain Fintech Pte Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/intain-fintech-pte-ltd.svg","www.intainft.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Intain Fintech Pte Ltd - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Viable Data","","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Viable Data - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","1/31/2021","2/3/2020","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Beijing BOCO Inter-Telecom Technology Co., Ltd","","www.boco.com.cn","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Beijing BOCO Inter-Telecom Technology Co., Ltd - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Cinemo GmbH","","http://www.cinemo.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Cinemo GmbH - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","1/9/2020","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"LFN Auto Join Test Account","","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","LFN Auto Join Test Account - The Linux Foundation - Silver Membership - 2020","2/1/2020","Active","1/31/2021","1/10/2020",""
"Jump Operations, LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/jump-operations-llc-dba-jump-trading.svg","http://www.jumptrading.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Jump Operations, LLC dba Jump Trading - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Mazda Motor Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/mazda-motor-corporation.svg","http://www.mazda.co.jp","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Mazda Motor Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Instana","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/instana.svg","www.instana.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Instana - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Synadia Communications","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/synadia-communications.svg","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Synadia Communications - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership"
"Robert Bosch GmbH","","www.bosch.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Robert Bosch GmbH - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Target Corporation","","http://www.target.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Target Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Lineo Solutions, Inc.","","http://www.lineo.co.jp/modules/english/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Lineo Solutions, Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Sumo Logic","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/sumo-logic.svg","http://www.SumoLogic.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Sumo Logic - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Suzuki Motor Corporation","","www.suzuki.co.jp","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Suzuki Motor Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Univa Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/univa-corporation.svg","http://www.univa.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Univa Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Hangzhou Fuzamei Technology Co. Ltd.","","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Hangzhou Fuzamei Technology Co. Ltd. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"American Express Technology","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/american-express-technology.svg","http://americanexpress.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","American Express Technology - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Kublr","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kublr.svg","kublr.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Kublr - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Raisecom Technology Co. Ltd","","http://www.raisecom.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Raisecom Technology Co. Ltd - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Anne Inc.","","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Anne Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"RTE (Reseau de Transport d'Electricite)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/rte-reseau-de-transport-delectricite.svg","www.rte-france.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","RTE (Reseau de Transport d'Electricite) - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"NTT DATA MSE  CORPORATION","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ntt-data-mse-corporation.svg","http://nttd-mse.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","NTT DATA MSE  CORPORATION - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/25/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Palo Alto Networks","","http://www.paloaltonetworks.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Palo Alto Networks - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Adfolks LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/adfolks-llc.svg","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Adfolks LLC - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/25/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Tech Mahindra Ltd.","","http://www.techmahindra.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Tech Mahindra Ltd. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"SAP","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/sap.svg","http://sap.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","SAP - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Netflix","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/netflix.svg","http://www.netflix.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Netflix - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"PlanetScale Data","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/planetscale-data.svg","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","PlanetScale Data - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Double Negative","","www.dneg.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Double Negative - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"NCSOFT Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/ncsoft-corporation.svg","http://www.ncsoft.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","NCSOFT Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"RStudio","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/rstudio.svg","http://www.rstudio.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","RStudio - The Linux Foundation - Silver Membership - 2019","11/1/2019","Active","10/31/2020","11/21/2019","The Linux Foundation Silver Membership Total Employee Size 100 - 499"
"Hangzhou HarmonyCloud Technology LTD.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/hangzhou-harmonycloud-technology-ltd.svg","www.harmonycloud.cn","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Hangzhou HarmonyCloud Technology LTD. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Kontena, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kontena-inc.svg","www.kontena.io","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Kontena, Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"We.Trade Innovation DAC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/wetrade-innovation-dac.svg","www.we-trade.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","We.Trade Innovation DAC - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/27/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"RackN, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/rackn-inc.svg","www.rackn.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","RackN, Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Sinolending LTD (Dianrong)","","http://www.dianrong.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Sinolending LTD (Dianrong) - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Murphy & McGonigle, P.C.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/murphy-mcgonigle-pc.svg","http://www.mmlawus.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Murphy & McGonigle, P.C. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"ABN AMRO","","http://www.abnamro.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ABN AMRO - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Moscow Exchange (MICEX-RTS)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/moscow-exchange-micex-rts.svg","http://www.moex.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Moscow Exchange (MICEX-RTS) - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/27/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Upbound","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/upbound.svg","www.upbound.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Upbound - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Giant Swarm","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/giant-swarm.svg","https://giantswarm.io/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Giant Swarm - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"StackRox","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/stackrox.svg","www.stackrox.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","StackRox - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Delta Electronics Worldwide","","http://www.delta-americas.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Delta Electronics Worldwide - The Linux Foundation - Silver Membership - 2019","12/1/2019","Active","11/30/2020","11/20/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Origoss Solutions","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/origoss-solutions.svg","","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Origoss Solutions - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","12/2/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"GitHub, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/github-inc.svg","http://www.github.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","GitHub, Inc. - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/28/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"HSA Foundation","","http://www.hsafoundation.org","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","HSA Foundation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Fidelity Investments","","http://www.fidelity.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Fidelity Investments - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Krypc Corporation","","www.krypc.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Krypc Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Mavenir","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/mavenir.svg","http://www.mavenir.com/","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Mavenir - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
"Smart Block Laboratory","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/smart-block-laboratory.svg","www.smartblocklab.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Smart Block Laboratory - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 1 - 99"
"Broadcom Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/broadcom-corporation.svg","http://broadcom.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Broadcom Corporation - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Silver Membership Total Employee Size 5000+"
"Dynatrace LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/dynatrace-llc.svg","http://www.dynatrace.com","Silver Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Dynatrace LLC - The Linux Foundation - Silver Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Silver Membership Total Employee Size 500 - 4999"
